127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:12, GET, /admin/default/index, HTTP/1.1, 200, 0.076000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:13, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000

127.0.0.1, 2014-06-10 12:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-10 12:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
